key	de	en	fr	it
firstRun.settings.autoRefresh.subtitle	Feedivo prüft deine Feeds regelmäßig, solange die App laufen darf.	Feedivo checks your feeds regularly while the app may run.	Feedivo vérifie régulièrement vos flux tant que l'app peut tourner.	Feedivo controlla regolarmente i feed finché l'app può girare.
firstRun.settings.interval.title	Refresh-Intervall	Refresh interval	Intervalle d'actualisation	Intervallo di aggiornamento
firstRun.settings.interval.subtitle	Gibt an, wie oft Feedivo nach neuen Artikeln suchen soll.	How often Feedivo should look for new articles.	À quelle fréquence Feedivo doit chercher de nouveaux articles.	Quanto spesso Feedivo deve cercare nuovi articoli.
firstRun.refreshAfter.title	Feeds nach Import direkt aktualisieren	Refresh feeds right after import	Actualiser les flux juste après l'import	Aggiorna i feed subito dopo l'import
firstRun.refreshAfter.subtitle	Lädt direkt Titel, Favicons und erste Artikel. Das dauert etwas länger.	Loads titles, favicons, and first articles directly. Takes a bit longer.	Charge titres, favicons et premiers articles directement. Prend un peu plus de temps.	Carica titoli, favicon e primi articoli direttamente. Richiede un po' più di tempo.
firstRun.statusfilter	Statusfilter	Status filter	Filtre de statut	Filtro di stato
firstRun.selectAll	Alle auswählen	Select all	Tout sélectionner	Seleziona tutti
firstRun.deselectAll	Alle abwählen	Deselect all	Tout désélectionner	Deseleziona tutti
firstRun.createFolder	Ordner erstellen	Create folder	Créer le dossier	Crea cartella
firstRun.importSummary.title	Import-Zusammenfassung	Import summary	Résumé de l'import	Riepilogo import
firstRun.importSummary.description	Diese Feeds werden gespeichert, wenn du fortfährst. Über „Auswahl bearbeiten" kommst du zurück zur Liste.	These feeds are saved when you continue. Use “Edit selection” to return to the list.	Ces flux sont enregistrés si vous continuez. « Modifier la sélection » revient à la liste.	Questi feed vengono salvati quando prosegui. « Modifica selezione » torna alla lista.
firstRun.editSelection	Auswahl bearbeiten	Edit selection	Modifier la sélection	Modifica selezione
firstRun.metric.selectedFeeds	ausgewählte Feeds	selected feeds	flux sélectionnés	feed selezionati
firstRun.metric.folders	Ordner	Folders	Dossiers	Cartelle
firstRun.metric.duplicates	Duplikate erkannt	Duplicates detected	Doublons détectés	Duplicati rilevati
firstRun.metric.unreachable	nicht erreichbar	unreachable	inaccessibles	non raggiungibili
firstRun.finish.problems.title	Import abgeschlossen mit Hinweisen	Import complete with notes	Import terminé avec des remarques	Import completato con note
firstRun.finish.ok.title	Import abgeschlossen	Import complete	Import terminé	Import completato
firstRun.finish.description	Die ausgewählten Feeds wurden gespeichert. Hinweise zeigen dir, was noch Aufmerksamkeit braucht.	The selected feeds have been saved. Notes show what still needs attention.	Les flux sélectionnés ont été enregistrés. Les remarques indiquent ce qui requiert attention.	I feed selezionati sono stati salvati. Le note indicano cosa richiede attenzione.
firstRun.metric.feedsImported	Feeds importiert	Feeds imported	Flux importés	Feed importati
firstRun.metric.foldersUsed	Ordner angelegt/verwendet	Folders created/used	Dossiers créés/utilisés	Cartelle create/usate
firstRun.metric.duplicatesImported	Duplikate importiert	Duplicates imported	Doublons importés	Duplicati importati
firstRun.metric.unreachableImported	nicht erreichbare importiert	Unreachable imported	Inaccessibles importés	Non raggiungibili importati
firstRun.hints.title	Hinweise	Notes	Remarques	Note
firstRun.noImport.title	Noch kein Import gestartet.	No import started yet.	Aucun import démarré.	Nessun import avviato.
firstRun.noImport.subtitle	Gehe zurück und starte den Import oder öffne Feedivo ohne Feeds.	Go back and start the import or open Feedivo without feeds.	Revenez en arrière et lancez l'import ou ouvrez Feedivo sans flux.	Torna indietro e avvia l'import oppure apri Feedivo senza feed.
firstRun.tableHeader.feed	Feed	Feed	Flux	Feed
firstRun.tableHeader.folder	Ordner	Folder	Dossier	Cartella
firstRun.tableHeader.status	Status	Status	Statut	Stato
firstRun.emptyPreview.title	Noch keine Feeds geprüft.	No feeds checked yet.	Aucun flux vérifié.	Nessun feed verificato.
firstRun.emptyPreview.subtitle	Gib eine Feed-Adresse ein oder wähle eine OPML-Datei aus.	Enter a feed address or select an OPML file.	Saisissez une adresse de flux ou sélectionnez un fichier OPML.	Inserisci un indirizzo feed o seleziona un file OPML.
firstRun.emptyFilter.title	Keine Feeds für diesen Status.	No feeds for this status.	Aucun flux pour ce statut.	Nessun feed per questo stato.
firstRun.emptyFilter.subtitle	Wähle im Filter einen anderen Status, um weitere Feeds zu sehen.	Choose another status in the filter to see more feeds.	Choisissez un autre statut dans le filtre pour voir plus de flux.	Scegli un altro stato nel filtro per vedere più feed.
firstRun.preparing.title	Import-Vorschau wird vorbereitet	Preparing import preview	Préparation de l'aperçu d'import	Preparazione anteprima import
firstRun.later	Später	Later	Plus tard	Più tardi
firstRun.back	Zurück	Back	Retour	Indietro
firstRun.primary.welcome	Weiter	Next	Continuer	Avanti
firstRun.primary.check	Auswahl prüfen	Check selection	Vérifier la sélection	Verifica selezione
firstRun.primary.settings	Einstellungen wählen	Choose settings	Choisir les réglages	Scegli impostazioni
firstRun.primary.finishShow	Fertig anzeigen	Show summary	Afficher le résumé	Mostra riepilogo
firstRun.primary.import	Import starten	Start import	Lancer l'import	Avvia import
firstRun.primary.start	Starten	Start	Démarrer	Avvia
firstRun.feedAddress.checking	Feed-Adresse wird geprüft...	Checking feed address...	Vérification de l'adresse du flux...	Verifica indirizzo feed...
firstRun.filter.all	Alle	All	Tous	Tutti
firstRun.filter.new	Neu	New	Nouveau	Nuovo
firstRun.filter.duplicates	Duplikate	Duplicates	Doublons	Duplicati
firstRun.filter.unreachable	Nicht erreichbar	Unreachable	Inaccessibles	Non raggiungibili
firstRun.problem.skippedDuplicates	%lld doppelte Feeds wurden nicht importiert.	%lld duplicate feeds were not imported.	%lld flux en double n'ont pas été importés.	%lld feed duplicati non importati.
firstRun.problem.notRefreshed	Feeds wurden importiert, aber noch nicht aktualisiert.	Feeds were imported but not yet refreshed.	Les flux ont été importés mais pas encore actualisés.	I feed sono stati importati ma non ancora aggiornati.
